Ano;Temática;Enunciado;Alternativas;Resposta Correta
2024;Movimentos Sociais;No Brasil, os movimentos sociais desempenham um papel fundamental na conquista de direitos. Qual das opções abaixo melhor caracteriza a função dos movimentos sociais na sociedade?;A) Garantem a estabilidade política eliminando conflitos. | B) Expressam reivindicações de grupos e promovem mudanças sociais. | C) São responsáveis pela formulação de políticas públicas sem a participação do Estado. | D) São movimentos violentos que buscam desestabilizar governos. | E) Atuam apenas em períodos eleitorais para apoiar candidatos.;B
2023;Cultura e Identidade;A cultura pode ser definida como:;A) Um conjunto fixo de valores transmitidos geneticamente. | B) Um sistema dinâmico de símbolos e significados construídos socialmente. | C) Algo exclusivo das sociedades ocidentais desenvolvidas. | D) Um fenômeno biológico independente das interações sociais. | E) Uma característica imutável de cada nação.;B
2022;Estratificação Social;A estratificação social refere-se à:;A) Hierarquização dos indivíduos em uma sociedade com base em critérios socioeconômicos. | B) Igualdade absoluta entre todos os cidadãos de uma nação. | C) Supressão de qualquer forma de hierarquia social. | D) Organização social baseada exclusivamente na herança genética. | E) Forma de evitar a mobilidade social.;A
2021;Trabalho e Sociedade;Na sociedade capitalista, o trabalho assalariado tem como principal característica:;A) A troca da força de trabalho por um salário. | B) A ausência de relações de subordinação. | C) A impossibilidade de mobilidade social. | D) A valorização do lazer em detrimento do trabalho. | E) A ausência de qualquer forma de exploração econômica.;A
2020;Globalização;O fenômeno da globalização intensificou-se no século XX devido a avanços em:;A) Tecnologias de comunicação e transporte. | B) Isolamento econômico das nações. | C) Redução da diversidade cultural. | D) Fechamento das fronteiras para a circulação de bens. | E) Diminuição do intercâmbio de informações.;A
2019;Estado e Cidadania;O conceito de cidadania refere-se ao:;A) Conjunto de direitos e deveres dos indivíduos na sociedade. | B) Privilégio de determinadas classes sociais. | C) Exercício da autoridade sobre os demais cidadãos. | D) Afastamento dos indivíduos do espaço público. | E) Exclusividade do voto como única forma de participação política.;A
2018;Cultura e Indústria Cultural;A Indústria Cultural, conceito desenvolvido por Adorno e Horkheimer, refere-se a:;A) Produção e difusão massificada de bens culturais com fins comerciais. | B) Exclusividade da cultura popular sobre a erudita. | C) Independência total das produções culturais em relação ao mercado. | D) Manutenção da autenticidade cultural sem interferências econômicas. | E) Desconexão entre cultura e ideologia.;A
2017;Ideologia;O conceito de ideologia pode ser compreendido como:;A) Um sistema de ideias que influencia as percepções e práticas sociais. | B) Uma realidade objetiva que independe das relações sociais. | C) Uma ciência exata que descreve a sociedade de forma neutra. | D) Um fenômeno exclusivamente econômico sem impacto cultural. | E) Uma teoria criada apenas para manipular as massas.;A
2016;Movimentos Sociais;Um exemplo de movimento social no Brasil que contribuiu para a conquista de direitos foi:;A) Movimento das Diretas Já. | B) Revolução Francesa. | C) Expansão do Império Romano. | D) Invasão Napoleônica. | E) Colonização portuguesa.;A
2015;Trabalho e Capitalismo;O conceito de mais-valia, desenvolvido por Karl Marx, refere-se à:;A) Diferença entre o valor produzido pelo trabalhador e o salário que ele recebe. | B) Acumulação de capital por meio da herança. | C) Desvalorização do trabalho autônomo na economia moderna. | D) Distribuição equitativa de riquezas entre os cidadãos. | E) Extinção da exploração no sistema capitalista.;A
2014;Gênero e Sociedade;A desigualdade de gênero persiste em diversas áreas da sociedade. Qual das alternativas abaixo representa um fator que contribui para essa desigualdade?;A) A divisão sexual do trabalho. | B) A inexistência de movimentos feministas. | C) A ausência de diferenças salariais entre homens e mulheres. | D) A neutralidade das políticas públicas em relação ao gênero. | E) A eliminação dos papéis de gênero na sociedade.;A
2013;Classes Sociais;Segundo Karl Marx, a luta de classes é um fenômeno que:;A) Ocorre entre grupos sociais com interesses opostos. | B) Foi superado com o advento do capitalismo. | C) Não tem relação com a economia. | D) Não influencia a estrutura social. | E) É um conceito apenas teórico sem aplicação na realidade.;A
2012;Movimentos Feministas;Os movimentos feministas têm como principal objetivo:;A) A luta por direitos e igualdade de gênero. | B) A substituição do patriarcado por um sistema matriarcal. | C) A exclusão dos homens das decisões políticas. | D) A negação das conquistas das mulheres ao longo da história. | E) O fim da participação feminina no mercado de trabalho.;A
2011;Tecnologia e Sociedade;O impacto da tecnologia na sociedade pode ser observado em:;A) Mudanças na comunicação e nas relações de trabalho. | B) Imutabilidade das relações sociais. | C) Redução da desigualdade sem necessidade de políticas públicas. | D) Eliminação dos conflitos sociais. | E) Afastamento total das pessoas em relação à informação.;A
2010;Poder e Política;O conceito de poder, segundo Max Weber, está relacionado à:;A) Capacidade de um indivíduo impor sua vontade sobre os outros. | B) Exclusividade da classe dominante. | C) Ausência de influência nas relações sociais. | D) Neutralidade nas relações políticas. | E) Estrutura fixa e imutável na sociedade.;A
2025;teste;O conceito de poder, segundo Max Weber, está relacionado à:;A) Capacidade de um indivíduo impor sua vontade sobre os outros. | B) Exclusividade da classe dominante. | C) Ausência de influência nas relações sociais. | D) Neutralidade nas relações políticas. | E) Estrutura fixa e imutável na sociedade.;A
